CodigoInterno;Lote;Tipo_Contendor;Distrito;Cantidad
179223;TRES;VIDRIO;CARABANCHEL;1;
179148;TRES;ENVASES;CARABANCHEL;1;
179148;TRES;VIDRIO;CARABANCHEL;1;
179130;TRES;RESTO;CARABANCHEL;1;
179323;TRES;ENVASES;CARABANCHEL;1;
179323;TRES;VIDRIO;CARABANCHEL;1;
179220;TRES;ENVASES;CARABANCHEL;1;
179220;TRES;VIDRIO;CARABANCHEL;1;
179200;TRES;ENVASES;CARABANCHEL;1;
179200;TRES;RESTO;CARABANCHEL;1;
179198;TRES;ENVASES;CARABANCHEL;1;
179198;TRES;RESTO;CARABANCHEL;1;
178958;TRES;ENVASES;CARABANCHEL;1;
178958;TRES;VIDRIO;CARABANCHEL;1;
179260;TRES;ENVASES;CARABANCHEL;1;
179260;TRES;VIDRIO;CARABANCHEL;1;
179238;TRES;ENVASES;CARABANCHEL;1;
179238;TRES;VIDRIO;CARABANCHEL;1;
179073;TRES;ENVASES;CARABANCHEL;1;
179073;TRES;ENVASES;CARABANCHEL;1;
179073;TRES;VIDRIO;CARABANCHEL;1;
179140;TRES;ENVASES;CARABANCHEL;1;
179140;TRES;RESTO;CARABANCHEL;1;
179144;TRES;ENVASES;CARABANCHEL;1;
179144;TRES;VIDRIO;CARABANCHEL;1;
178986;TRES;RESTO;USERA;1;
179005;TRES;ENVASES;USERA;1;
179005;TRES;VIDRIO;USERA;1;
179250;TRES;ENVASES;USERA;1;
179250;TRES;RESTO;USERA;1;
179044;TRES;ENVASES;PUENTE DE VALLECAS;1;
179044;TRES;VIDRIO;PUENTE DE VALLECAS;1;
179045;TRES;ENVASES;PUENTE DE VALLECAS;1;
179045;TRES;VIDRIO;PUENTE DE VALLECAS;1;
179046;TRES;ORGANICA;PUENTE DE VALLECAS;1;
179046;TRES;RESTO;PUENTE DE VALLECAS;1;
179059;TRES;ENVASES;PUENTE DE VALLECAS;1;
179059;TRES;VIDRIO;PUENTE DE VALLECAS;1;
179055;TRES;ENVASES;PUENTE DE VALLECAS;1;
179055;TRES;ORGANICA;PUENTE DE VALLECAS;1;
179055;TRES;RESTO;PUENTE DE VALLECAS;1;
179060;TRES;ENVASES;PUENTE DE VALLECAS;1;
179060;TRES;VIDRIO;PUENTE DE VALLECAS;1;
179296;TRES;ENVASES;PUENTE DE VALLECAS;1;
179373;TRES;ENVASES;CARABANCHEL;1;
179373;TRES;RESTO;CARABANCHEL;1;
179373;TRES;RESTO;CARABANCHEL;1;
179296;TRES;VIDRIO;PUENTE DE VALLECAS;1;
179297;TRES;ENVASES;PUENTE DE VALLECAS;1;
179297;TRES;VIDRIO;PUENTE DE VALLECAS;1;
179298;TRES;ENVASES;PUENTE DE VALLECAS;1;
179298;TRES;VIDRIO;PUENTE DE VALLECAS;1;
179285;TRES;ENVASES;PUENTE DE VALLECAS;1;
179285;TRES;ORGANICA;PUENTE DE VALLECAS;1;
179285;TRES;RESTO;PUENTE DE VALLECAS;1;
179299;TRES;ENVASES;PUENTE DE VALLECAS;1;
179299;TRES;VIDRIO;PUENTE DE VALLECAS;1;
179283;TRES;ENVASES;PUENTE DE VALLECAS;1;
179283;TRES;ORGANICA;PUENTE DE VALLECAS;1;
179283;TRES;RESTO;PUENTE DE VALLECAS;1;
179300;TRES;ENVASES;PUENTE DE VALLECAS;1;
179300;TRES;VIDRIO;PUENTE DE VALLECAS;1;
179268;TRES;ENVASES;PUENTE DE VALLECAS;1;
179268;TRES;ORGANICA;PUENTE DE VALLECAS;1;
179268;TRES;RESTO;PUENTE DE VALLECAS;1;
179268;TRES;RESTO;PUENTE DE VALLECAS;1;
